name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,3.821875,28,4,4.0,7,6,13,9,0
89ba7d54f1c54ec30e3f1d72c09d7f2c,3.192708333333333,26,4,3.125,10,1,7,17,1
b49fe8c02c04c589ceaf7fe405b129b5,3.1479166666666667,30,3,3.0,7,0,6,17,7
c4ed4471538dd4122016aed15ea5fd78,3.025520833333333,28,4,3.125,11,1,4,15,8
ecdc90303da2bb3869905378aaec0494,3.0632440476190474,28,4,3.125,14,0,3,17,8
303ba31b711c1cc44ee4d7163e5735af,3.743377976190476,28,4,3.75,20,3,14,9,2
cc374b1cd45d1de981d34ffc7f177cbd,4.615625,34,5,5.0,3,26,8,0,0
36122047f1eca5195038e8f92fe6603b,4.6138392857142865,28,5,4.75,10,19,8,1,0
06cdbf039036af3518ae5c662be90ba2,3.294642857142857,28,4,3.125,10,2,9,14,3
b48f1f62d9dff634ad820233c82d9dfe,4.900520833333333,34,5,5.0,10,28,6,0,0
d8105036f67526f12efa591aa239cf88,4.831163194444445,39,5,5.0,7,31,8,0,0
73bde23bd6600bcac410398cd040b392,3.415625,23,4,3.875,30,10,5,7,1
da8f55753c50b7ce5864472b28282366,4.838108766233766,46,5,4.75,4,34,11,1,0
518a45cc991260794b3911773b5d6e2a,2.834375,29,4,3.125,11,0,2,17,10
87b932ecb87d914ad451c5dfb8b9011f,3.85625,31,3,3.625,10,4,16,10,1
204ff99a59ee8c67e1764665b1463ac3,4.867559523809524,36,5,5.0,8,28,8,0,0
4026e9c7b6ef3d886517ab42c9b91c32,3.3171875,24,4,3.125,24,1,8,9,6
eaeafcc9981650b5cc0588e0748fc384,3.984375,35,4,4.0,6,9,19,6,1
94496e3292a61b803f10da463f94214a,3.633035714285714,29,3,3.875,2,1,16,11,1
33bfc6c1eeb0ef1a42e45dc81554f867,3.7155505952380956,29,3,3.875,11,6,13,10,0
479dbd4aaaba2cfe13d945818b6d0c7f,3.938988095238095,34,4,4.0,14,11,16,7,0
3b3c8a199a894db6a0c6154d0344f67a,2.7718749999999996,27,4,3.125,8,0,3,17,7
42e5721032d609f656bb9119d564e3f0,2.7873511904761905,34,4,3.0625,29,0,0,27,7
abccda2ef17a56d2e9c38f377c299ddc,3.7001054067460317,54,4,3.84375,4,3,36,14,1
4fb03b262b48cacde790a99a81a91469,2.6901041666666665,10,3,3.0,67,1,0,5,4
21fa78d4afc2a4b1c808265abb3074f3,3.664030305631868,66,4,3.955078125,14,3,39,23,1
21d69a152c703dcd1abe7e8b277f7d22,2.46875,13,False,2.875,68,0,0,5,8
8764861d1244bad8d5c2343c1aeee73b,2.28203125,28,False,2.25,52,0,0,11,17
6792909bbdd98ce074d2104764e53eb8,2.8763020833333335,33,3,2.96875,37,0,0,19,14
0782771c4a35face6f3a359f46389fec,4.234747023809524,44,4,4.059895833333333,21,19,18,7,0
f0c55d7d8947e517cb67511dfcffeaf0,3.9390873015873016,53,4,4.122395833333333,13,7,36,10,0
78e5a8095b243ce7476b8799bb2f98d0,4.88030753968254,45,5,4.83125,21,34,10,1,0
2ae6be7766e92f41ceb5306fa04028ad,2.555803571428571,39,False,2.953125,25,0,0,18,21
ca8b5397a015e0f01e70bfb95744b7b2,2.0625,9,False,2.25,69,0,1,0,8
00ef8c8eb1b89ef6048a15dad6d2f605,2.6686941964285715,40,3,2.9375,11,1,1,17,21
89d15f0c52218b58a4a6e1ee5550f5a4,2.6597005208333333,49,False,2.90625,3,0,1,24,24
d5a67af060cf092edd6f3e5e082498bd,2.815104166666667,35,4,3.125,27,2,3,25,5
68f7f13af8b3464c2ab4aaa16adce85a,2.8230902777777778,44,3,3.03125,15,2,4,31,7
153b1a732110be8d75e6d439e25569d6,2.638541666666667,24,4,3.0,30,0,1,12,11
f41e018147609a256bf877dde415873b,3.3805493551587302,54,3,3.104817708333333,21,2,26,21,5
aee43503fa43bc98f068c8ebe39afbb1,3.703915550595238,56,5,4.25,16,12,35,9,0
bdda2f968776f578c2ae270216027e82,3.4799107142857144,28,3,3.6875,34,3,11,13,1
73ac61fd95f22f0df4a6fed5b2cf2f72,3.1987630208333333,57,4,3.325520833333333,12,2,22,29,4
c93ce49065976b15d33789cdbf58f514,0,0,4,4.0,0,0,0,0,0
790231af4c89bc43a9a254a02975e889,0,0,3,3.0,0,0,0,0,0
f9978552790897e973818371156a7a0a,2.766592261904762,42,4,2.875,16,0,0,29,13
8eeb9e9c3d584cf9ab06f9b3409009d4,3.8172743055555554,41,4,3.8125,20,2,29,10,0
62a389ff40b5f07adf29162ca36b37ec,2.7934027777777777,48,4,2.725,8,0,0,35,13
b15b686ccba07dad6e66f8af53af447a,3.088169642857143,43,4,3.0625,3,1,12,29,1
a60704352b1493e9e4561dc581a415e1,4.058035714285714,46,5,4.0625,8,10,28,8,0
71a5675c4e59902a5c195decbc365644,4.909598214285714,51,5,5.0,6,38,13,0,0
578342bbe80a1edf3af389afaef97955,4.746527777777778,46,5,4.9375,6,33,12,1,0
831afe768050cab9849a8798e9e9eab0,3.7389322916666665,43,4,4.0,8,6,22,14,1
2a18a1b13f44442209bd54b810d506da,4.432291666666666,52,4,4.125,2,27,24,1,0
d1aae74ed5479cdaf584814e23e6a33f,2.925595238095238,41,4,2.96875,8,0,0,32,9
36e2db6862ebb4fd769f0ad00a8e55e3,4.836830357142857,46,5,5.0,22,38,8,0,0
9a19a4829e3c96483991d38ca5f70c49,2.732217261904762,42,4,2.875,15,0,0,32,10
e9e2bf0833cc7ab6037e0ce4fc12bbf9,4.771614583333333,37,5,5.0,18,25,12,0,0
a94c3e090a7ba42ee97609bcbe445bf4,4.256597222222222,43,5,4.453125,15,10,29,4,0
4f1f808b9e15dc7d044ae977a64ab2d3,3.5894097222222223,47,4,3.375,9,2,19,23,3
fabc945b89840eda8e6b026e5ee4fdfa,3.810267857142857,53,4,3.625,5,2,30,20,1
f04f26186f53cd2ebd7c677d15836297,3.196019345238095,54,4,3.0416666666666665,9,1,5,38,10
bf8c29ef32ab5bc890003be509455416,3.4071180555555554,43,5,3.71875,12,1,24,17,1
7917529895ad624c8362875f547bcf02,2.8563244047619047,33,4,3.0,34,0,2,23,8
f307e1ae7b394bba8df231f4128fbdd8,4.690166170634921,42,4,4.1875,4,23,18,1,0
3c4f13e9b56f19379641a2f9f8902131,3.990401785714286,32,5,3.90625,33,1,27,4,0
3dfb0495cf63f6aa25fc5876dc978d3e,2.5404575892857144,45,False,2.25,17,0,0,26,19
a82182397f71c0e607269d4fa9b2041e,4.306547619047619,47,5,4.25,5,13,25,9,0
6190774db670cc0545602a739cc3c0f5,3.1235863095238097,37,4,3.125,22,0,13,21,3
a2d9c82c516e88729a0cd1d0fcf4d130,4.675651041666667,39,5,4.125,10,18,19,2,0
d1d56f09927416b41b53613ee058ea89,3.796999007936508,55,4,3.28125,3,4,30,19,2
1d5c9220fd04ee6f58668389fe6d4072,2.8978236607142858,48,3,2.625,9,0,1,33,14
92dad094bb3f24a16036f54e868d492c,2.1,24,False,2.0,0,0,0,1,23
0023f75ba5f954a7c66169d17a06ea3a,3.197395833333333,27,3,3.0,10,1,4,15,7
a3af6c76f41db18e337d6799429562ee,2.872916666666667,30,3,3.0,7,0,5,16,9
6f22760d08b168eb07735313521567db,2.999330357142857,28,3,3.0,17,0,3,23,2
6b616d408f099f54e03a0fd2973178af,2.653125,30,4,3.125,16,1,2,13,14
49d7656fd3576c0ed4b7cf4db3886e59,3.065104166666667,22,4,3.125,27,0,4,14,4
8419c38890ec79eee8ac99dd1feab973,3.842113095238095,36,4,3.375,0,5,17,10,4
82d0336359980e1b1c8e781ec8f06ac9,3.2395833333333335,22,3,3.0,28,1,8,10,3
d9c0a5f30027a24d60c6dffdca3795db,4.752132936507936,44,5,4.75,1,28,14,1,1
2ad7fdf6ea2f48de5210a5ca5a2faa65,2.5583333333333336,25,3,2.75,11,0,2,11,12
a27d22c63cfeb3ef0dd481c15f474c43,4.282638888888889,32,5,4.375,17,18,12,2,0
8389fb252bd9a94c8ee0be746879b4eb,2.935416666666667,26,3,3.0,6,0,5,13,8
71bb12eaf755a18396684ed4ab781683,3.1354166666666665,19,3,3.0,46,1,1,14,3
c23d6434b504b719a21f0dfdf95e1bc1,3.326190476190476,30,3,3.75,5,1,16,13,0
a26ed5349f39bc8726f832b058060923,4.321006944444445,37,4,4.25,1,17,16,4,0
00f9e4e5fb13e9285b144c149d9b5e49,2.7819940476190474,35,3,3.0,15,1,1,19,14
20551f05e7448317544ffb6c89f7e0f2,2.932539682539683,35,3,3.0,11,3,4,19,9
de3c9ca5d162c379a4af4a58d4d0ea09,3.9483630952380953,36,4,4.0,2,11,21,3,1
