name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.6589285714285715,26,3,4.375,6,16,9,1,0
89ba7d54f1c54ec30e3f1d72c09d7f2c,4.684375,22,False,4.75,9,15,4,3,0
b49fe8c02c04c589ceaf7fe405b129b5,3.729166666666667,22,False,3.75,2,2,12,8,0
c4ed4471538dd4122016aed15ea5fd78,3.3979166666666663,24,False,3.833333333333333,6,3,10,7,4
ecdc90303da2bb3869905378aaec0494,3.2125,21,False,3.0,5,0,7,11,3
303ba31b711c1cc44ee4d7163e5735af,3.95,15,3,3.875,22,2,10,3,0
cc374b1cd45d1de981d34ffc7f177cbd,4.951388888888889,28,False,5.0,2,26,2,0,0
36122047f1eca5195038e8f92fe6603b,4.735863095238095,25,4,4.875,8,18,7,0,0
06cdbf039036af3518ae5c662be90ba2,4.020833333333333,19,False,4.0,5,4,8,7,0
b48f1f62d9dff634ad820233c82d9dfe,4.648065476190476,25,False,4.75,9,16,8,1,0
d8105036f67526f12efa591aa239cf88,5.0,31,False,5.0,6,31,0,0,0
73bde23bd6600bcac410398cd040b392,4.270833333333333,15,False,4.25,19,10,2,3,0
da8f55753c50b7ce5864472b28282366,4.821428571428571,22,False,5.0,5,17,5,0,0
518a45cc991260794b3911773b5d6e2a,4.386904761904763,27,3,4.0,4,13,8,6,0
87b932ecb87d914ad451c5dfb8b9011f,4.446428571428571,22,False,4.166666666666666,3,8,9,3,2
204ff99a59ee8c67e1764665b1463ac3,4.9226190476190474,27,False,5.0,4,24,3,0,0
4026e9c7b6ef3d886517ab42c9b91c32,3.125,19,False,3.25,12,3,4,7,5
eaeafcc9981650b5cc0588e0748fc384,3.959325396825397,28,4,4.0,5,7,13,4,4
94496e3292a61b803f10da463f94214a,3.7458333333333336,21,3,3.625,2,4,5,12,0
33bfc6c1eeb0ef1a42e45dc81554f867,4.0773809523809526,28,False,4.25,4,14,10,4,0
479dbd4aaaba2cfe13d945818b6d0c7f,4.487500000000001,23,4,4.625,6,11,10,2,0
3b3c8a199a894db6a0c6154d0344f67a,3.907738095238095,21,False,3.75,6,6,6,6,3
42e5721032d609f656bb9119d564e3f0,3.416666666666667,15,4,3.5,24,1,4,10,0
abccda2ef17a56d2e9c38f377c299ddc,3.8125,22,False,4.0,3,3,12,7,0
4fb03b262b48cacde790a99a81a91469,3.041666666666667,11,False,3.0,46,0,1,10,0
21fa78d4afc2a4b1c808265abb3074f3,4.020833333333334,19,False,4.0,15,5,11,3,0
21d69a152c703dcd1abe7e8b277f7d22,2.833333333333333,9,3,3.0,45,0,1,6,2
8764861d1244bad8d5c2343c1aeee73b,2.9166666666666665,9,False,3.0,37,0,0,8,1
6792909bbdd98ce074d2104764e53eb8,2.96875,14,False,3.0,26,0,1,11,2
0782771c4a35face6f3a359f46389fec,4.267857142857143,20,False,4.25,18,10,7,3,0
f0c55d7d8947e517cb67511dfcffeaf0,4.30952380952381,26,False,4.25,11,13,10,3,0
78e5a8095b243ce7476b8799bb2f98d0,4.875,18,False,5.0,16,17,1,0,0
2ae6be7766e92f41ceb5306fa04028ad,2.83125,17,False,3.0,15,1,2,9,5
ca8b5397a015e0f01e70bfb95744b7b2,2.5,7,False,2.833333333333333,52,0,1,4,2
00ef8c8eb1b89ef6048a15dad6d2f605,2.875,19,False,3.0,8,0,2,14,3
89d15f0c52218b58a4a6e1ee5550f5a4,3.0,20,False,3.0,3,1,2,13,4
d5a67af060cf092edd6f3e5e082498bd,3.6416666666666666,20,3,3.75,17,2,10,8,0
68f7f13af8b3464c2ab4aaa16adce85a,3.6273809523809524,20,3,3.25,11,3,7,10,0
153b1a732110be8d75e6d439e25569d6,3.25,12,False,3.0,26,0,3,8,1
f41e018147609a256bf877dde415873b,2.9916666666666667,16,False,3.0,14,1,2,10,3
aee43503fa43bc98f068c8ebe39afbb1,3.979166666666667,18,False,4.0,13,5,7,6,0
bdda2f968776f578c2ae270216027e82,3.875,17,4,4.0,28,4,8,5,0
73ac61fd95f22f0df4a6fed5b2cf2f72,3.2041666666666666,17,False,3.25,7,2,5,7,3
c93ce49065976b15d33789cdbf58f514,0,0,False,5.0,0,0,0,0,0
790231af4c89bc43a9a254a02975e889,0,0,False,3.0,0,0,0,0,0
f9978552790897e973818371156a7a0a,3.2079861111111114,28,3,3.0,12,0,10,15,3
8eeb9e9c3d584cf9ab06f9b3409009d4,4.09920634920635,29,4,4.0,16,4,21,2,2
62a389ff40b5f07adf29162ca36b37ec,2.999305555555556,28,False,3.0,6,0,7,11,10
b15b686ccba07dad6e66f8af53af447a,2.956439393939394,34,False,3.0,4,1,3,22,8
a60704352b1493e9e4561dc581a415e1,4.691197691197691,31,False,5.0,15,20,10,1,0
71a5675c4e59902a5c195decbc365644,4.744318181818182,40,False,5.0,1,32,7,1,0
578342bbe80a1edf3af389afaef97955,4.645436507936508,36,False,5.0,5,24,12,0,0
831afe768050cab9849a8798e9e9eab0,3.8910714285714283,26,False,4.0,5,7,11,8,0
2a18a1b13f44442209bd54b810d506da,4.092708333333333,33,False,4.0,2,7,20,6,0
d1aae74ed5479cdaf584814e23e6a33f,3.4226190476190474,28,False,3.0,5,0,11,16,1
