name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.640625,27,5,4.5,7,16,8,3,0
89ba7d54f1c54ec30e3f1d72c09d7f2c,3.9541666666666666,22,False,4.0,3,9,9,2,2
b49fe8c02c04c589ceaf7fe405b129b5,3.357142857142857,29,False,3.833333333333333,0,6,10,6,7
c4ed4471538dd4122016aed15ea5fd78,2.9739583333333335,25,False,3.0,6,1,7,8,9
ecdc90303da2bb3869905378aaec0494,3.6468253968253967,24,False,3.166666666666667,5,3,8,9,4
303ba31b711c1cc44ee4d7163e5735af,3.7666666666666666,14,False,3.75,28,3,7,1,3
cc374b1cd45d1de981d34ffc7f177cbd,4.919642857142857,26,False,5.0,4,23,3,0,0
36122047f1eca5195038e8f92fe6603b,4.375396825396825,36,False,5.0,7,21,12,2,1
06cdbf039036af3518ae5c662be90ba2,3.7285714285714286,26,False,3.75,2,5,10,9,2
b48f1f62d9dff634ad820233c82d9dfe,4.66875,35,False,5.0,5,26,6,2,1
d8105036f67526f12efa591aa239cf88,4.65515873015873,33,False,5.0,5,24,6,2,1
73bde23bd6600bcac410398cd040b392,4.469791666666667,20,False,4.25,16,14,4,2,0
da8f55753c50b7ce5864472b28282366,4.678571428571429,28,False,4.75,11,19,8,0,1
518a45cc991260794b3911773b5d6e2a,4.1875,28,False,4.0,7,15,5,6,2
87b932ecb87d914ad451c5dfb8b9011f,3.798809523809524,23,False,3.75,7,8,5,6,4
204ff99a59ee8c67e1764665b1463ac3,4.884920634920634,29,False,5.0,5,26,3,0,0
4026e9c7b6ef3d886517ab42c9b91c32,3.625,17,False,3.041666666666667,14,2,5,6,4
eaeafcc9981650b5cc0588e0748fc384,4.28125,34,4,4.0,5,18,8,4,4
94496e3292a61b803f10da463f94214a,3.4145833333333333,22,3,3.25,2,4,8,3,7
33bfc6c1eeb0ef1a42e45dc81554f867,4.479166666666666,26,False,4.25,4,15,9,2,0
479dbd4aaaba2cfe13d945818b6d0c7f,4.08125,23,False,4.0,11,12,5,4,2
3b3c8a199a894db6a0c6154d0344f67a,3.517857142857143,22,False,3.833333333333333,8,7,6,8,1
42e5721032d609f656bb9119d564e3f0,3.4635416666666665,23,False,3.0,14,1,3,12,7
abccda2ef17a56d2e9c38f377c299ddc,4.319940476190476,30,False,3.75,4,5,11,14,0
4fb03b262b48cacde790a99a81a91469,2.716666666666667,10,False,2.5,41,0,0,5,5
21fa78d4afc2a4b1c808265abb3074f3,3.583333333333333,22,False,3.75,11,2,8,11,1
21d69a152c703dcd1abe7e8b277f7d22,3.716666666666667,12,False,2.5,44,1,1,2,8
8764861d1244bad8d5c2343c1aeee73b,2.125,10,False,2.0,31,0,0,1,9
6792909bbdd98ce074d2104764e53eb8,2.45,15,False,2.75,24,0,0,8,7
0782771c4a35face6f3a359f46389fec,3.666666666666667,21,False,3.75,13,6,4,9,2
f0c55d7d8947e517cb67511dfcffeaf0,3.575,22,False,4.0,9,5,5,11,1
78e5a8095b243ce7476b8799bb2f98d0,4.519642857142857,23,False,4.75,12,11,11,1,0
2ae6be7766e92f41ceb5306fa04028ad,2.3,19,False,3.0,16,0,1,9,9
ca8b5397a015e0f01e70bfb95744b7b2,2.0625,9,False,2.0,43,0,0,1,8
00ef8c8eb1b89ef6048a15dad6d2f605,2.6949404761904763,22,False,2.833333333333333,6,0,4,3,15
89d15f0c52218b58a4a6e1ee5550f5a4,2.953968253968254,27,False,2.75,2,0,2,8,17
d5a67af060cf092edd6f3e5e082498bd,2.85,20,False,3.0,15,0,3,11,6
68f7f13af8b3464c2ab4aaa16adce85a,3.5907738095238098,23,False,3.166666666666667,8,4,6,6,7
153b1a732110be8d75e6d439e25569d6,2.16875,15,False,2.583333333333333,26,1,0,3,11
f41e018147609a256bf877dde415873b,2.3958333333333335,27,False,3.0,13,1,2,12,12
aee43503fa43bc98f068c8ebe39afbb1,3.5517857142857143,24,False,3.25,12,1,7,14,2
bdda2f968776f578c2ae270216027e82,3.65,14,False,3.75,26,2,4,8,0
73ac61fd95f22f0df4a6fed5b2cf2f72,3.7407738095238097,25,False,2.75,8,2,3,5,15
c93ce49065976b15d33789cdbf58f514,0,0,False,4.0,0,0,0,0,0
790231af4c89bc43a9a254a02975e889,0,0,False,3.0,0,0,0,0,0
f9978552790897e973818371156a7a0a,3.671875,29,False,3.25,13,3,11,8,7
8eeb9e9c3d584cf9ab06f9b3409009d4,4.655448717948718,36,4,3.875,15,18,14,2,2
62a389ff40b5f07adf29162ca36b37ec,3.303125,28,False,2.875,7,2,7,12,7
b15b686ccba07dad6e66f8af53af447a,3.392361111111111,35,False,3.041666666666667,3,4,10,15,6
a60704352b1493e9e4561dc581a415e1,3.928571428571429,28,False,4.0,12,9,11,5,3
71a5675c4e59902a5c195decbc365644,5.0,40,False,5.0,3,40,0,0,0
578342bbe80a1edf3af389afaef97955,4.885416666666667,33,False,5.0,3,28,3,1,1
831afe768050cab9849a8798e9e9eab0,4.020833333333333,27,False,3.875,8,11,9,5,2
2a18a1b13f44442209bd54b810d506da,4.734375,30,False,4.041666666666666,2,13,15,2,0
d1aae74ed5479cdaf584814e23e6a33f,4.490277777777778,29,False,3.5,5,8,13,7,1
36e2db6862ebb4fd769f0ad00a8e55e3,4.959722222222222,31,False,4.625,12,29,2,0,0
9a19a4829e3c96483991d38ca5f70c49,4.310416666666667,21,False,3.875,8,3,8,10,0
e9e2bf0833cc7ab6037e0ce4fc12bbf9,4.878246753246753,35,5,5.0,14,28,6,1,0
a94c3e090a7ba42ee97609bcbe445bf4,4.726785714285715,24,False,4.208333333333333,8,13,8,3,0
4f1f808b9e15dc7d044ae977a64ab2d3,4.191666666666666,28,False,4.125,9,9,10,5,4
fabc945b89840eda8e6b026e5ee4fdfa,4.5749007936507935,29,False,3.75,4,12,11,3,3
f04f26186f53cd2ebd7c677d15836297,3.693452380952381,37,3,2.875,4,3,17,11,6
bf8c29ef32ab5bc890003be509455416,4.054166666666666,28,False,4.166666666666667,9,11,9,6,2
7917529895ad624c8362875f547bcf02,3.8520833333333337,19,False,3.166666666666667,23,4,7,5,3
f307e1ae7b394bba8df231f4128fbdd8,4.608333333333333,32,False,4.291666666666666,2,14,11,5,2
3c4f13e9b56f19379641a2f9f8902131,4.356547619047619,19,False,4.0,22,8,9,2,0
3dfb0495cf63f6aa25fc5876dc978d3e,3.205654761904762,25,False,3.125,12,1,10,12,2
a82182397f71c0e607269d4fa9b2041e,4.215029761904762,29,False,4.125,4,9,14,5,1
