name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.884564393939394,64,False,4.75,6,48,13,3,0
303ba31b711c1cc44ee4d7163e5735af,3.7265625,30,False,4.0,39,5,20,5,0
36122047f1eca5195038e8f92fe6603b,4.555555555555555,9,False,5.0,0,7,0,2,0
9333ce6604fb0d3f282053af87702fff,3.0,11,False,3.0,48,0,1,9,1
518a45cc991260794b3911773b5d6e2a,3.3784722222222223,47,False,3.75,16,8,19,19,1
87b932ecb87d914ad451c5dfb8b9011f,3.9535590277777777,46,False,4.0,6,11,27,8,0
204ff99a59ee8c67e1764665b1463ac3,5.0,1,False,5.0,0,1,0,0,0
94496e3292a61b803f10da463f94214a,3.337053571428571,48,False,3.375,4,4,26,13,5
c23c6f3afb47830b08149d42d869a330,3.9973958333333335,37,False,3.625,15,10,20,6,1
3b3c8a199a894db6a0c6154d0344f67a,3.3332341269841272,37,False,3.75,22,4,11,19,3
89ba7d54f1c54ec30e3f1d72c09d7f2c,4.147656250000001,47,False,4.0,7,13,23,11,0
b49fe8c02c04c589ceaf7fe405b129b5,3.9118055555555555,39,False,3.25,10,2,24,13,0
ca6e69b062ff81a221d5616bd6153bf9,2.806547619047619,36,False,3.0,10,0,5,25,6
ecdc90303da2bb3869905378aaec0494,3.2730034722222223,40,False,3.0,6,2,6,24,8
cc374b1cd45d1de981d34ffc7f177cbd,4.785511363636363,41,False,5.0,15,28,13,0,0
36122047f1eca5195038e8f92fe6603b,4.86875,35,False,5.0,9,26,9,0,0
06cdbf039036af3518ae5c662be90ba2,3.9745535714285714,38,False,4.0,11,11,22,5,0
b48f1f62d9dff634ad820233c82d9dfe,4.226984126984127,34,False,4.0,15,18,12,4,0
d8105036f67526f12efa591aa239cf88,4.873958333333333,45,False,5.0,7,39,6,0,0
73bde23bd6600bcac410398cd040b392,3.957440476190476,31,False,3.75,22,3,15,11,2
da8f55753c50b7ce5864472b28282366,4.682180059523809,45,False,4.25,5,24,19,2,0
204ff99a59ee8c67e1764665b1463ac3,4.681361607142858,37,False,5.0,21,24,13,0,0
4026e9c7b6ef3d886517ab42c9b91c32,4.37012987012987,41,False,4.0,15,20,18,3,0
eaeafcc9981650b5cc0588e0748fc384,3.8950892857142856,41,False,4.0,9,3,26,11,1
33bfc6c1eeb0ef1a42e45dc81554f867,4.925520833333334,47,False,5.0,6,39,8,0,0
479dbd4aaaba2cfe13d945818b6d0c7f,4.059027777777778,40,False,4.0,13,7,23,10,0
42e5721032d609f656bb9119d564e3f0,3.8,10,False,3.25,7,0,8,2,0
abccda2ef17a56d2e9c38f377c299ddc,3.720535714285714,44,False,4.0,3,1,24,18,1
4fb03b262b48cacde790a99a81a91469,3.5416666666666665,8,False,3.75,18,0,4,3,1
21fa78d4afc2a4b1c808265abb3074f3,4.46530257936508,39,False,4.0,21,13,18,7,1
21d69a152c703dcd1abe7e8b277f7d22,2.875,5,False,3.0,32,0,0,4,1
6792909bbdd98ce074d2104764e53eb8,3.9261904761904765,36,False,3.875,27,6,15,12,3
0782771c4a35face6f3a359f46389fec,4.640625,37,False,4.25,14,16,21,0,0
f0c55d7d8947e517cb67511dfcffeaf0,3.8848214285714286,35,False,3.875,16,4,20,11,0
78e5a8095b243ce7476b8799bb2f98d0,4.639769345238095,38,False,5.0,15,28,10,0,0
2ae6be7766e92f41ceb5306fa04028ad,2.6489583333333337,31,False,3.0,11,0,1,18,12
ca8b5397a015e0f01e70bfb95744b7b2,2.8041666666666667,31,False,3.0,20,0,0,25,6
00ef8c8eb1b89ef6048a15dad6d2f605,2.6674107142857144,38,False,3.0,4,0,0,25,13
89d15f0c52218b58a4a6e1ee5550f5a4,2.708184523809524,35,False,3.0,5,0,1,21,13
d5a67af060cf092edd6f3e5e082498bd,4.271428571428571,25,False,4.0,21,5,19,1,0
68f7f13af8b3464c2ab4aaa16adce85a,2.86875,32,False,3.0,21,0,5,21,6
153b1a732110be8d75e6d439e25569d6,2.9429315476190476,32,False,2.9375,16,0,4,23,5
302854f15bb1df8c9656851e22c8a92a,3.906671626984127,42,False,4.0,14,4,27,10,1
f41e018147609a256bf877dde415873b,3.2199776785714285,42,False,3.0625,15,3,15,19,5
aee43503fa43bc98f068c8ebe39afbb1,3.7319940476190476,39,False,3.9375,18,4,22,12,1
bdda2f968776f578c2ae270216027e82,4.248350694444444,40,False,4.125,16,17,20,2,1
73ac61fd95f22f0df4a6fed5b2cf2f72,3.2931209415584415,41,False,3.25,18,4,14,19,4
0037c702b24c2db817084a47cf5dd959,0,0,False,0,0,0,0,0,0
e6a14b8dbf6d63684a0a17ebe3577429,3.471081349206349,36,False,3.75,8,4,21,9,2
d6edc0ff186a270e8baa869e539b51da,3.8583333333333334,30,False,4.0,7,1,26,3,0
870c67de411de329ad0e5e6c41c96c70,2.947916666666667,26,False,3.0,22,0,0,24,2
4f18d71321d74c805f4e78d1d1124824,3.802083333333333,27,False,4.0,6,1,21,5,0
ddca75d930a65128bb0dd61c91567069,3.732291666666667,25,False,3.0,16,2,10,10,3
96e787cbe64bf62fd5f7733baf652e7b,3.9895833333333335,24,False,4.0,0,4,17,3,0
fae6a1924e8bc29e2b2fe8c81ab5b67a,3.8581349206349205,30,False,4.0,8,2,23,3,2
3dae8afa7820e606274f3384e6e59671,2.96875,26,False,3.0,19,0,0,25,1
f21af954c8b06405ad739ef8fbe85647,3.6333333333333333,20,False,3.75,20,0,15,5,0
05e29e5bdee1c1002e1f8820ffed1a62,3.1744791666666665,25,False,3.0,13,0,5,19,1
fae144a17df324ec77c84d8b3b296203,3.002604166666667,29,False,3.0,9,0,3,24,2
81f847584f70e8d935183c3bcc8f614e,3.875,7,False,4.0,3,0,6,1,0
b7ac752522eedd941241658b959058de,3.9375,10,False,4.0,3,0,9,1,0
a414774e68b9b00fb850dfeb97f7700c,0,0,False,0,0,0,0,0,0
7dca6bf9e08413f528aa8e3bd7145437,0,0,False,0,0,0,0,0,0
b8bed71c966620285a8d7788502eea15,4.053348214285714,35,False,4.0,37,10,16,6,3
58e37aec4855934efb6bd8d536c9c0cb,3.5100074404761905,36,False,3.625,15,3,14,16,3
0d02080495fbbfaccaf40a7ad91546ab,3.0427083333333336,29,False,3.0,23,1,9,13,6
249d793529071a478fa209b7573cc489,4.890438988095238,41,False,5.0,29,32,8,1,0
6889bfcb7048f29556f8c3e7e1c5d08b,4.72953869047619,41,False,5.0,25,32,8,1,0
9e1e2c480b1f917aac6e5023778b584c,4.76235119047619,39,False,5.0,21,30,7,2,0
2066c2a374d3e3ef02a94b9db224f47f,2.901289682539683,49,False,3.125,6,1,11,25,12
9100bfb39dc60c32bda0c5c5ab0ef26c,3.1157738095238097,37,False,3.0,30,0,2,26,9
cbc3e6c02b3d212ecf0b96afdcc3949d,3.3034226190476192,52,False,3.0,2,6,16,18,12
ded3c80ba89517065039b6dbe4076c8f,4.156175595238095,48,False,4.125,7,23,15,10,0
af0541c86db3b8833f68b03f87939088,4.688337053571429,41,False,4.875,14,29,11,1,0
726c7ed689895949a334ea43eb575588,2.291666666666667,13,False,2.0,3,0,0,4,9
f9978552790897e973818371156a7a0a,3.290178571428571,34,False,3.2994791666666665,39,3,18,9,4
8eeb9e9c3d584cf9ab06f9b3409009d4,4.167708333333334,40,False,3.9088541666666665,39,16,20,4,0
b15b686ccba07dad6e66f8af53af447a,3.242423115079365,46,False,3.416666666666667,27,7,18,12,9
a60704352b1493e9e4561dc581a415e1,4.005419146825397,42,False,4.028645833333333,34,19,19,3,1
9067f0500e32f5a90996699f12376ac7,4.523515286796537,64,False,4.5625,16,38,21,5,0
36e2db6862ebb4fd769f0ad00a8e55e3,4.963107638888889,48,False,5.0,39,45,3,0,0
407e2e22ba3df5e798aaa3371655c8d2,3.383463541666667,49,False,2.809895833333333,30,7,22,8,12
9a19a4829e3c96483991d38ca5f70c49,3.601605902777778,61,False,3.75,17,13,30,13,5
a94c3e090a7ba42ee97609bcbe445bf4,4.143229166666666,52,False,3.729166666666667,28,26,18,5,3
4f1f808b9e15dc7d044ae977a64ab2d3,4.6378844246031745,53,False,4.159375,25,30,17,3,3
f04f26186f53cd2ebd7c677d15836297,3.6591765873015873,67,False,3.611458333333333,8,23,28,10,6
bf8c29ef32ab5bc890003be509455416,4.823315746753247,72,False,4.9140625,16,59,10,3,0
7917529895ad624c8362875f547bcf02,3.958333333333333,29,False,4.213541666666667,51,10,14,4,1
f307e1ae7b394bba8df231f4128fbdd8,4.2606759559884555,66,False,3.994791666666667,9,32,25,9,0
3dfb0495cf63f6aa25fc5876dc978d3e,2.4565104166666667,40,False,3.0625,34,2,10,13,15
62a389ff40b5f07adf29162ca36b37ec,3.6489335317460316,60,False,3.3578125,11,7,23,23,7
71a5675c4e59902a5c195decbc365644,4.922634548611111,76,False,4.988802083333333,8,71,5,0,0
578342bbe80a1edf3af389afaef97955,4.842838541666667,68,False,4.99609375,17,58,10,0,0
