name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.941346153846154,46,False,5.0,1,40,6,0,0
89ba7d54f1c54ec30e3f1d72c09d7f2c,3.8888888888888884,30,False,4.0,4,6,18,6,0
b49fe8c02c04c589ceaf7fe405b129b5,4.111111111111111,24,False,4.0,7,5,16,3,0
ca6e69b062ff81a221d5616bd6153bf9,3.6488095238095237,23,False,3.75,15,2,13,6,2
ecdc90303da2bb3869905378aaec0494,3.591666666666667,25,False,3.75,4,2,12,9,2
303ba31b711c1cc44ee4d7163e5735af,4.308035714285714,20,False,4.75,25,11,9,0,0
cc374b1cd45d1de981d34ffc7f177cbd,4.878472222222222,34,False,5.0,13,29,5,0,0
36122047f1eca5195038e8f92fe6603b,4.4356060606060606,33,False,4.75,11,22,10,1,0
06cdbf039036af3518ae5c662be90ba2,3.5659722222222223,28,False,4.0,8,0,18,8,2
9333ce6604fb0d3f282053af87702fff,3.0833333333333335,10,False,3.0,32,0,2,8,0
b48f1f62d9dff634ad820233c82d9dfe,4.325,30,False,4.375,6,16,11,3,0
d8105036f67526f12efa591aa239cf88,4.903521825396825,41,False,4.875,6,33,8,0,0
73bde23bd6600bcac410398cd040b392,4.670634920634921,27,False,4.75,16,20,6,1,0
da8f55753c50b7ce5864472b28282366,4.958440170940171,41,False,4.9375,2,36,5,0,0
518a45cc991260794b3911773b5d6e2a,3.7958333333333334,23,False,3.875,9,4,11,7,1
87b932ecb87d914ad451c5dfb8b9011f,3.90625,26,False,4.0,7,5,14,5,2
204ff99a59ee8c67e1764665b1463ac3,4.802777777777777,34,False,4.9375,13,29,5,0,0
4026e9c7b6ef3d886517ab42c9b91c32,3.9,20,False,4.0,19,4,9,6,1
eaeafcc9981650b5cc0588e0748fc384,4.095982142857143,29,False,4.0,6,9,13,4,3
94496e3292a61b803f10da463f94214a,3.7384920634920635,27,False,4.0,3,4,16,6,1
33bfc6c1eeb0ef1a42e45dc81554f867,4.8875,38,False,5.0,5,32,6,0,0
