name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.888888888888889,20,False,5.0,2,16,4,0,0
303ba31b711c1cc44ee4d7163e5735af,4.9226190476190474,14,False,5.0,11,12,2,0,0
36122047f1eca5195038e8f92fe6603b,4.854166666666667,18,False,5.0,3,13,5,0,0
06cdbf039036af3518ae5c662be90ba2,4.142857142857143,15,False,4.0,6,4,11,0,0
518a45cc991260794b3911773b5d6e2a,4.895833333333333,15,False,5.0,6,12,3,0,0
204ff99a59ee8c67e1764665b1463ac3,4.964285714285714,14,False,5.0,5,13,1,0,0
eaeafcc9981650b5cc0588e0748fc384,4.09375,17,False,4.0,6,4,12,1,0
94496e3292a61b803f10da463f94214a,4.913194444444445,19,False,5.0,1,16,3,0,0
c23c6f3afb47830b08149d42d869a330,3.0,3,False,3.75,3,0,0,3,0
3b3c8a199a894db6a0c6154d0344f67a,4.334821428571429,16,False,5.0,5,10,6,0,0
89ba7d54f1c54ec30e3f1d72c09d7f2c,4.3125,17,False,4.75,1,10,6,1,0
b49fe8c02c04c589ceaf7fe405b129b5,4.183333333333334,16,False,4.25,4,6,9,1,0
ca6e69b062ff81a221d5616bd6153bf9,4.06875,15,False,4.0,4,4,8,3,0
ecdc90303da2bb3869905378aaec0494,4.0,16,False,4.0,3,2,12,2,0
cc374b1cd45d1de981d34ffc7f177cbd,5.0,18,False,5.0,1,18,0,0,0
9333ce6604fb0d3f282053af87702fff,3.166666666666667,5,False,3.0,11,0,1,4,0
b48f1f62d9dff634ad820233c82d9dfe,4.816666666666666,13,False,5.0,4,9,4,0,0
d8105036f67526f12efa591aa239cf88,4.964285714285714,16,False,5.0,3,15,1,0,0
73bde23bd6600bcac410398cd040b392,4.916666666666667,13,False,5.0,7,12,1,0,0
da8f55753c50b7ce5864472b28282366,4.901785714285714,18,False,5.0,0,15,3,0,0
87b932ecb87d914ad451c5dfb8b9011f,4.281746031746032,18,False,4.25,1,10,7,1,0
4026e9c7b6ef3d886517ab42c9b91c32,4.233333333333333,13,False,4.25,4,6,6,1,0
33bfc6c1eeb0ef1a42e45dc81554f867,4.36875,15,False,4.75,3,10,5,0,0
479dbd4aaaba2cfe13d945818b6d0c7f,4.864583333333333,16,False,5.0,4,13,2,1,0
c23c6f3afb47830b08149d42d869a330,4.2,13,False,3.75,2,5,7,1,0
42e5721032d609f656bb9119d564e3f0,4.0,3,False,4.0,1,0,3,0,0
abccda2ef17a56d2e9c38f377c299ddc,4.5,15,False,4.75,0,8,5,2,0
4fb03b262b48cacde790a99a81a91469,4.166666666666666,5,False,4.0,7,1,4,0,0
21fa78d4afc2a4b1c808265abb3074f3,4.553571428571429,13,False,5.0,6,8,5,0,0
21d69a152c703dcd1abe7e8b277f7d22,3.5,2,False,3.5,12,0,1,1,0
6792909bbdd98ce074d2104764e53eb8,3.0083333333333333,14,False,3.0,9,1,1,9,3
0782771c4a35face6f3a359f46389fec,4.279166666666667,12,False,4.125,6,3,9,0,0
f0c55d7d8947e517cb67511dfcffeaf0,4.266666666666667,11,False,4.0,6,4,6,1,0
78e5a8095b243ce7476b8799bb2f98d0,4.916666666666667,13,False,5.0,3,12,1,0,0
2ae6be7766e92f41ceb5306fa04028ad,2.85,12,False,3.0,5,0,0,9,3
