name,avg,marks,exam,fin_avg,absent,num_5,num_4,num_3,num_2
f918936b21f6e73fa3fa717fcb91dd83,4.028645833333334,21,False,3.9375,15,6,11,2,2
89ba7d54f1c54ec30e3f1d72c09d7f2c,3.9799107142857144,30,False,3.625,7,7,9,11,3
b49fe8c02c04c589ceaf7fe405b129b5,4.075744047619048,27,5,3.9375,3,6,14,7,0
c4ed4471538dd4122016aed15ea5fd78,2.8467261904761907,29,False,3.0,15,0,6,12,11
ecdc90303da2bb3869905378aaec0494,3.0046875,25,False,2.6875,10,0,8,12,5
303ba31b711c1cc44ee4d7163e5735af,3.923958333333333,17,False,3.166666666666667,42,1,9,5,2
cc374b1cd45d1de981d34ffc7f177cbd,4.973958333333333,31,5,5.0,8,29,2,0,0
36122047f1eca5195038e8f92fe6603b,4.804166666666666,27,False,5.0,12,22,5,0,0
06cdbf039036af3518ae5c662be90ba2,3.5427083333333336,28,False,3.875,8,4,11,12,1
b48f1f62d9dff634ad820233c82d9dfe,4.229092261904762,28,False,4.25,7,15,10,3,0
d8105036f67526f12efa591aa239cf88,4.4111979166666675,28,False,4.0,9,15,8,5,0
73bde23bd6600bcac410398cd040b392,4.113839285714286,24,False,3.5,22,8,12,2,2
da8f55753c50b7ce5864472b28282366,4.719791666666667,26,False,4.125,11,17,7,2,0
518a45cc991260794b3911773b5d6e2a,3.795014880952381,24,False,3.875,11,3,11,8,2
87b932ecb87d914ad451c5dfb8b9011f,4.4328125,22,4,3.75,7,10,11,1,0
204ff99a59ee8c67e1764665b1463ac3,4.757440476190476,34,False,5.0,12,30,4,0,0
4026e9c7b6ef3d886517ab42c9b91c32,2.497916666666667,24,False,2.833333333333333,26,1,3,7,13
eaeafcc9981650b5cc0588e0748fc384,4.120833333333334,32,False,3.875,13,7,14,7,4
94496e3292a61b803f10da463f94214a,3.8166666666666664,25,False,3.625,11,0,16,8,1
33bfc6c1eeb0ef1a42e45dc81554f867,3.8213541666666666,27,False,4.0,6,5,11,9,2
479dbd4aaaba2cfe13d945818b6d0c7f,4.120089285714286,25,False,3.6875,11,9,10,6,0
3b3c8a199a894db6a0c6154d0344f67a,3.489583333333333,25,4,2.9375,11,0,14,8,3
42e5721032d609f656bb9119d564e3f0,3.404985119047619,23,False,3.0,28,1,5,13,4
abccda2ef17a56d2e9c38f377c299ddc,4.15625,24,False,4.0,4,2,20,2,0
4fb03b262b48cacde790a99a81a91469,3.0,3,False,3.0,66,0,1,1,1
21fa78d4afc2a4b1c808265abb3074f3,4.155208333333333,20,False,4.0,18,5,14,1,0
21d69a152c703dcd1abe7e8b277f7d22,2.84375,7,False,2.75,58,0,1,4,2
8764861d1244bad8d5c2343c1aeee73b,2.416666666666667,13,False,2.125,48,0,5,1,7
6792909bbdd98ce074d2104764e53eb8,3.611979166666667,21,False,3.25,33,2,10,8,1
0782771c4a35face6f3a359f46389fec,4.85,32,False,5.0,20,30,1,1,0
f0c55d7d8947e517cb67511dfcffeaf0,4.8921875,33,False,5.0,11,28,5,0,0
78e5a8095b243ce7476b8799bb2f98d0,5.0,31,5,5.0,24,31,0,0,0
2ae6be7766e92f41ceb5306fa04028ad,3.13125,18,False,3.0,27,1,4,9,4
ca8b5397a015e0f01e70bfb95744b7b2,3.1041666666666665,8,False,3.0,59,0,1,4,3
00ef8c8eb1b89ef6048a15dad6d2f605,2.5885416666666665,23,False,2.75,9,0,0,10,13
89d15f0c52218b58a4a6e1ee5550f5a4,2.859375,21,False,2.75,5,0,1,12,8
d5a67af060cf092edd6f3e5e082498bd,3.8333333333333335,15,False,4.25,30,5,8,2,0
68f7f13af8b3464c2ab4aaa16adce85a,3.284375,20,False,3.0,13,2,3,11,4
153b1a732110be8d75e6d439e25569d6,3.3135416666666666,19,False,3.833333333333333,27,1,11,5,2
f41e018147609a256bf877dde415873b,3.94375,26,False,4.0,17,5,17,2,2
aee43503fa43bc98f068c8ebe39afbb1,4.68125,28,False,4.166666666666666,20,15,13,0,0
bdda2f968776f578c2ae270216027e82,4.953125,18,False,4.75,32,16,2,0,0
73ac61fd95f22f0df4a6fed5b2cf2f72,3.8213541666666666,23,False,4.0,13,2,15,4,2
c93ce49065976b15d33789cdbf58f514,0,0,False,5.0,0,0,0,0,0
790231af4c89bc43a9a254a02975e889,0,0,False,3.0,0,0,0,0,0
f9978552790897e973818371156a7a0a,4.169845779220779,42,False,4.0,16,12,21,8,1
8eeb9e9c3d584cf9ab06f9b3409009d4,4.46719990079365,41,False,4.104166666666666,21,15,21,4,1
62a389ff40b5f07adf29162ca36b37ec,3.030059523809524,37,False,2.78125,9,3,7,17,10
b15b686ccba07dad6e66f8af53af447a,3.221875,47,False,3.15625,3,2,13,20,12
a60704352b1493e9e4561dc581a415e1,4.546875,36,False,4.9375,22,23,13,0,0
71a5675c4e59902a5c195decbc365644,4.718963068181818,47,False,5.0,6,37,7,1,2
578342bbe80a1edf3af389afaef97955,4.809375,46,False,5.0,7,34,11,1,0
831afe768050cab9849a8798e9e9eab0,4.835639880952381,38,False,5.0,12,28,9,1,0
2a18a1b13f44442209bd54b810d506da,4.344246031746032,46,False,4.25,2,17,26,3,0
d1aae74ed5479cdaf584814e23e6a33f,3.6851190476190476,40,False,3.65625,7,5,22,10,3
36e2db6862ebb4fd769f0ad00a8e55e3,4.960379464285714,46,False,5.0,15,42,4,0,0
9a19a4829e3c96483991d38ca5f70c49,4.266145833333333,38,False,3.875,13,15,17,4,2
e9e2bf0833cc7ab6037e0ce4fc12bbf9,4.794903273809524,38,False,5.0,21,31,5,1,1
a94c3e090a7ba42ee97609bcbe445bf4,4.086160714285715,35,False,4.0,13,9,18,6,2
4f1f808b9e15dc7d044ae977a64ab2d3,4.347371031746032,43,False,4.0,10,10,27,3,3
fabc945b89840eda8e6b026e5ee4fdfa,4.056572420634921,47,False,3.875,3,9,21,14,3
f04f26186f53cd2ebd7c677d15836297,3.138392857142857,37,False,3.0,9,1,15,13,8
bf8c29ef32ab5bc890003be509455416,4.739732142857143,41,False,4.8125,15,25,16,0,0
